answer_id,answer_slug,proposed_contributor_id,score,match_type,flags,automated_action
33ae1ba4-c6bd-466d-805a-9ffed6b7b225,how-do-i-handle-criticism-without-taking-177940-011,laura-hilsen,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
affb82cd-e3a5-4e24-83a9-a4b815df2f48,how-do-i-maintain-my-sense-of-identity-during-reti-187459-024,laura-hilsen,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
bf4ed0c5-91bf-4306-bb13-2cf0c3347ede,why-do-i-feel-guilty-for-being-excited-about-chang-187459-021,laura-hilsen,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
859f488b-026f-48b8-88f7-3cd2b5fa770d,how-do-i-cope-with-losing-someone-to-suicide,laura-hilsen,94,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
02e25548-610a-4402-96e8-70797fb2fdf6,how-do-i-rebuild-intimacy-after-infidelity-or-betrayal,laura-hilsen,94,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
23e0e04b-f725-4ac1-9a4d-8f3c27359c84,how-do-i-deal-with-my-parents-divorce-186032-011,meredith-price,94,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
18e51622-7110-418f-b6fe-75e004a8d402,am-i-losing-my-ability-to-connect-with-real-people-189142-008,meredith-price,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
f221af60-8d96-4568-89e2-fb620998d3c7,can-stress-cause-back-and-neck-pain-181083-013,meredith-price,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
9df570d9-153c-4d5c-832a-e42e2213ce94,cope-with-loneliness-after-breakup,meredith-price,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
022990eb-5526-4ac2-8183-739bcc74824e,how-can-i-protect-my-children-from-conflict-between-me-and-my-ex,meredith-price,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
65e8808d-02b2-4594-b2d9-fbbbc1f14fa5,how-do-believers-make-sense-of-suffering-if-god-is-loving,samantha-bryant,85,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
d500c52c-2757-4656-bf67-321de790b930,how-do-i-deal-with-feeling-like-my-life-has-177941-025,samantha-bryant,85,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
7d35938f-1b57-4edd-8bc3-6bfc208ed26f,how-do-i-talk-to-my-children-about-death-without-an-afterlife,samantha-bryant,85,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
66c480b8-5f36-4cc3-8d67-c71984a10687,can-religious-trauma-be-real-even-if-not-181083-042,samantha-bryant,93,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
5a6e3c9f-ceb7-4463-a399-e0c75e9981f0,how-do-i-cope-with-the-fear-that-death-means-compl-186602-026,samantha-bryant,93,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
7a7d5858-77db-4ed0-ba23-778ceee58f9f,how-do-i-handle-guilt-and-shame-about-my-past-actions,michaela-hilburn,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
75dc1ae0-db4b-4a5e-9e78-c0dc59a36f06,why-do-i-feel-guilty-every-time-i-get-angry-186602-005,michaela-hilburn,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
c9448d08-3fc8-4951-a927-ab452c5fbb60,are-there-specific-depression-challenges-for-lgbtq-individuals,michaela-hilburn,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
9e3fe259-035c-4f41-ae80-8bcb85cbf041,can-lack-of-sleep-make-my-anxiety-worse-181083-049,michaela-hilburn,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
55ab8e34-c37f-42f9-801e-4e7f850ae4d5,can-low-self-esteem-affect-relationships,michaela-hilburn,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
6f9550f3-1eb0-4fe5-9774-f3092a825d94,how-do-i-deal-with-fear-of-hell-after-le-181083-036,lynn-lane,85,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
af928cc2-4ae7-48e3-a0ef-bf5f541aab3e,is-it-normal-to-grieve-the-loss-of-my-faith-like-a-death,lynn-lane,85,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
e8dcd44e-34f3-4edb-b9db-c7e88f0972f0,why-do-i-feel-like-life-has-no-meaning-or-purpose-v6w2x8,lynn-lane,85,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
cf652264-4c0a-4c93-b184-8619ab112077,how-do-i-know-if-im-experiencing-spiritual-o9p6q1,lynn-lane,93,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
decbea77-6a45-405b-9e95-60532dd6af2e,bring-up-hard-topic-without-starting-fight,lynn-lane,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
1a6c77d0-1568-46a6-bbb6-0942dbd5d0b7,how-can-i-create-a-calming-environment-at-home,jackie-malone,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
a402ef0e-9611-4c26-ae83-62281a56536f,how-do-i-cope-with-feeling-lost-and-uncertain-duri-187459-019,jackie-malone,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
c1bb8f62-42a1-449b-bfc5-18fbc9099858,how-do-i-deal-with-people-who-dont-understand-or-s-187459-023,jackie-malone,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
55fd6f47-af3d-479f-882c-49be638e2531,why-do-i-feel-anxious-about-positive-life-changes--187459-025,jackie-malone,86,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
8eff8c5f-438a-4be4-a671-6855f1eb6fb0,can-ai-companionship-replace-human-intimacy-189142-007,jackie-malone,100,exact_topic,spans_gt_3_major_themes,flag_for_human_qa
fb610607-24ae-4c09-bc58-2693249de97d,how-do-i-communicate-better-with-my-teenager,lauren-sanders,94,exact_topic_plus_alias,broad_fallback_life_transitions_gt_25pct,flag_for_human_qa
33f3f8ee-06d8-4b1e-8646-aeb023173276,can-ai-griefbots-make-grief-harder-to-process,lauren-sanders,100,exact_topic_plus_alias,broad_fallback_life_transitions_gt_25pct,flag_for_human_qa
ba4a939a-1c23-4c69-9863-c99c53dd8524,how-do-i-cope-with-the-loss-of-a-pet,lauren-sanders,100,exact_topic_plus_alias,broad_fallback_life_transitions_gt_25pct,flag_for_human_qa
df1d3e84-c236-4674-98bc-ab3361930d5f,can-ai-make-doomscrolling-worse,liz-webb,100,exact_topic_plus_alias,spans_gt_3_major_themes,flag_for_human_qa
